HRTA,MYOR,MIKA,UNTR
NaN,0.047331379,NaN,-0.202350756
NaN,0.196014771,NaN,0.13937937
NaN,0.080657876,NaN,0.007623844
NaN,0.103328966,NaN,-0.02304829
NaN,0.187576912,NaN,-0.058683607
NaN,-0.184254572,NaN,-0.025035731
NaN,0.059551099,NaN,-0.08522061
NaN,-0.056829559,NaN,0.134669524
NaN,0.053540739,NaN,-0.080042634
NaN,0.077002997,NaN,-0.061369043
NaN,-0.05255155,NaN,0.0311553
NaN,-0.06693947,NaN,0.071035814
NaN,0.037740247,NaN,0.05256213
NaN,0.108688435,NaN,0.040274096
NaN,-0.003327641,NaN,0.015665971
NaN,-0.068993051,NaN,-0.01698251
NaN,0.029905525,NaN,0.089423784
NaN,0.018884622,NaN,0.04476585
NaN,0.015190149,NaN,-0.001152697
NaN,0.033445797,NaN,0.078933868
NaN,-0.004090015,NaN,-0.008695939
NaN,-0.075748849,NaN,-0.033299292
NaN,-0.115133813,NaN,-0.107117736
NaN,-0.187094912,NaN,-0.07972854
NaN,0.148667423,NaN,0.007416771
NaN,0.010256509,NaN,-0.054673684
NaN,0.165168305,NaN,0.03120811
NaN,-0.124182964,NaN,0.147745637
NaN,-0.000980033,NaN,0.049363857
NaN,0.019418166,NaN,-0.018519316
NaN,0.07323379,NaN,-0.003164793
NaN,-0.051672217,NaN,0.003687725
NaN,0.007547262,NaN,-0.008625963
NaN,0.025975708,NaN,-0.054686349
NaN,-0.052643878,NaN,-0.090225279
NaN,0.163483779,NaN,0.05040006
NaN,-0.121889908,NaN,-0.104746892
NaN,0.105360564,NaN,0.039102692
NaN,0.047996156,NaN,0.026202441
NaN,0.113271828,NaN,-0.114018593
NaN,0.088192859,NaN,-0.014598877
NaN,0.011620462,NaN,-0.019802493
NaN,0.019072465,NaN,-0.054808248
NaN,-0.042522528,NaN,0.07115731
NaN,-0.009983445,NaN,0.062213157
NaN,0.016584073,NaN,0.174353411
NaN,0.032365342,NaN,-0.057629173
NaN,0.04666469,NaN,0.208151933
NaN,0.073239219,NaN,-0.029327618
NaN,0.151726426,NaN,0.011834349
NaN,0.033416019,NaN,0.02784416
NaN,-0.04808621,NaN,0.120576045
NaN,0.04808621,NaN,0.072367763
NaN,0.036870519,NaN,0.014981538
NaN,-0.165688616,NaN,0.046894711
NaN,0.075262528,NaN,-0.011770161
NaN,-0.020202692,NaN,0.092159044
NaN,0.044895286,NaN,0.006622508
